"id","credit","duration","total","scans","voidedScans","attemptsWoScan","modifiedQuantities","fraud"
6745,"High",1800,13.38,11,7,9,4,0
6746,"High",1806,75.21,9,10,6,2,0
6747,"High",316,40.56,17,11,9,0,0
6748,"Low",1366,47.52,30,0,7,2,1
6749,"Low",738,16.76,29,3,6,3,1
6750,"Low",397,84.13,9,8,9,3,0
6751,"Low",172,63.4,11,6,7,1,0
6752,"High",567,77.21,10,3,1,1,0
6753,"Low",579,88.99,19,8,1,2,0
6754,"High",121,82.01,10,5,7,4,0
6755,"High",1080,19.74,26,4,9,3,0
6756,"Low",1247,0.16,20,10,4,1,0
6757,"High",1207,48.23,26,6,2,0,0
6758,"High",1109,25.44,28,0,5,1,0
6759,"Low",279,97.76,2,3,4,0,0
6760,"High",982,5.19,6,1,0,5,0
6761,"High",597,18.78,19,3,7,2,0
6762,"High",569,11.62,25,2,10,3,0
6763,"High",1221,71.48,11,10,4,5,0
6764,"Low",276,13.26,21,11,7,4,0
6765,"Low",1074,7.84,1,2,3,5,0
6766,"High",549,81.18,30,11,1,1,0
6767,"High",550,72.14,28,10,9,3,1
6768,"High",1139,29.57,3,8,10,0,0
6769,"Low",1196,32.6,2,4,10,2,0
6770,"High",623,75.89,17,8,5,3,0
6771,"Low",1503,37.25,5,0,4,0,0
6772,"Low",846,47.61,1,11,2,3,0
6773,"High",1183,32.77,1,9,2,0,0
6774,"Low",1320,79.5,10,6,7,4,0
6775,"High",1518,51.54,27,2,6,0,0
6776,"High",1720,81.78,25,5,6,1,0
6777,"Low",458,53.61,22,6,0,1,0
6778,"High",1003,85.64,6,8,3,1,0
6779,"High",1790,76.93,29,2,0,2,0
6780,"Low",752,33.49,20,2,3,5,0
6781,"High",798,20.02,21,5,7,2,0
6782,"Low",1286,61.42,14,8,7,2,0
6783,"Low",1043,54.26,29,5,7,5,1
6784,"High",269,36.68,28,5,2,2,0
6785,"Low",298,51.7,24,7,2,4,0
6786,"Low",1051,2.25,18,5,8,5,0
6787,"Low",1264,24.29,15,10,1,2,0
6788,"High",37,83.56,6,1,9,0,0
6789,"High",422,62.94,12,1,5,2,0
6790,"Low",527,15.53,16,1,6,1,0
6791,"Low",150,47.19,15,7,4,5,0
6792,"High",82,13.72,16,9,9,4,0
6793,"High",708,2.5,29,6,1,5,0
6794,"Low",1442,26.08,26,4,8,1,1
6795,"High",91,30.66,19,7,0,2,0
6796,"Low",1830,41.35,11,9,0,5,0
6797,"High",1119,11.84,8,8,5,1,0
6798,"High",619,89.17,4,3,3,3,0
6799,"High",1740,85.25,29,3,6,4,1
6800,"High",1826,4.31,30,8,7,4,1
6801,"Low",945,94.79,13,6,1,0,0
6802,"Low",1011,15.94,3,10,6,4,0
6803,"Low",134,20.69,26,2,8,1,1
6804,"High",897,59.73,2,5,1,4,0
6805,"High",1199,45.81,15,9,0,2,0
6806,"High",1007,86.2,9,7,1,3,0
6807,"High",433,12.29,6,2,6,4,0
6808,"High",250,62.3,9,1,3,3,0
6809,"High",597,84.53,18,4,7,5,0
6810,"Low",1750,24.05,8,9,0,4,0
6811,"High",1363,56.82,30,6,3,5,1
6812,"Low",1035,63.53,3,4,7,1,0
6813,"Low",293,58.13,13,6,0,3,0
6814,"High",282,31.08,4,2,6,4,0
6815,"Low",1029,83.38,22,4,1,0,0
6816,"Low",719,61.21,1,6,0,3,0
6817,"High",87,13.41,20,2,9,5,0
6818,"Low",1128,79,25,1,7,3,0
6819,"Low",465,89.44,2,1,8,0,0
6820,"High",1218,47.06,26,10,3,0,0
6821,"High",1005,99.83,28,0,7,3,0
6822,"High",1639,20.75,4,5,8,1,0
6823,"High",1019,62.58,30,0,8,1,1
6824,"Low",432,97.32,11,8,5,5,0
6825,"Low",353,52.59,2,4,2,4,0
6826,"High",279,88.5,24,11,8,3,0
6827,"High",1210,34.73,21,8,6,3,0
6828,"Low",91,23,27,4,3,5,0
6829,"Low",1259,20.73,12,6,6,4,0
6830,"High",1741,97.5,6,9,2,1,0
6831,"High",1767,25.97,16,7,5,1,0
6832,"Low",757,81.61,3,8,9,5,0
6833,"Low",165,83.7,7,10,3,3,0
6834,"High",629,17.22,23,6,4,2,0
6835,"Low",1688,10.9,22,7,7,0,1
6836,"High",1451,45.44,25,1,5,1,0
6837,"High",1358,37.54,1,0,3,2,0
6838,"High",1677,83.8,5,1,7,5,0
6839,"Low",861,61.43,27,5,4,3,1
6840,"High",1382,88.36,22,10,9,3,0
6841,"Low",348,29.29,6,1,8,2,0
6842,"Low",735,95.43,2,9,6,3,0
6843,"Low",540,4.35,16,5,10,5,0
6844,"High",1211,47.66,23,9,3,2,0
6845,"Low",540,99.03,1,3,3,5,0
6846,"High",430,86.33,26,0,6,2,0
6847,"Low",1497,5.86,28,9,1,3,1
6848,"Low",1183,4.89,26,6,2,4,1
6849,"High",761,5.93,21,3,9,5,0
6850,"High",745,93.38,26,3,7,1,0
6851,"High",1083,49.74,18,8,8,0,0
6852,"Low",835,31.98,16,2,5,3,0
6853,"High",645,65.7,5,2,7,3,0
6854,"Low",210,33.89,12,7,6,4,0
6855,"High",61,99.36,6,10,6,1,0
6856,"Low",271,55.8,10,5,2,1,0
6857,"Low",27,19.09,15,5,9,5,0
6858,"High",568,21.55,20,9,8,2,0
6859,"High",978,17.56,1,0,4,5,0
6860,"High",663,24.3,2,4,0,0,0
6861,"High",1181,48.1,5,9,10,0,0
6862,"High",877,52.66,4,3,1,5,0
6863,"Low",1682,79.57,14,10,4,1,0
6864,"Low",955,61.15,16,9,3,3,0
6865,"High",1465,97.68,2,5,3,2,0
6866,"High",892,3.13,28,7,1,3,0
6867,"Low",1291,52.82,6,3,5,3,0
6868,"Low",1158,2.84,23,4,1,0,0
6869,"High",1555,3.41,5,10,9,0,0
6870,"Low",325,3.64,26,5,2,5,0
6871,"Low",671,54.41,10,3,8,1,0
6872,"High",1042,69.77,2,11,4,3,0
6873,"Low",1754,18.24,20,8,0,1,0
6874,"Low",1307,33.86,2,4,8,2,0
6875,"Low",1568,35.58,14,1,6,0,0
6876,"Low",797,77.31,14,1,10,2,0
6877,"Low",756,79.65,30,3,5,3,1
6878,"Low",1354,38.15,2,10,2,2,0
6879,"High",41,66.96,15,2,1,5,0
6880,"Low",1518,61.87,13,10,1,0,0
6881,"Low",536,22.46,25,9,9,1,1
6882,"High",232,2.1,30,4,4,3,0
6883,"High",436,86.16,29,1,1,2,0
6884,"Low",1337,80.63,9,5,8,3,0
6885,"High",644,29.79,14,4,5,5,0
6886,"Low",360,60.27,26,1,4,0,0
6887,"Low",1413,71.2,2,11,2,4,0
6888,"Low",880,42.75,9,2,0,5,0
6889,"High",612,88.66,30,5,2,0,0
6890,"High",100,86.32,11,11,3,0,0
6891,"Low",1250,88.67,27,4,4,0,1
6892,"High",476,97.4,8,7,2,5,0
6893,"High",1235,41.94,18,6,6,3,0
6894,"Low",817,90.12,13,7,9,4,0
6895,"High",388,62.32,15,6,6,1,0
6896,"Low",1182,64.03,29,6,10,2,1
6897,"High",1548,78.58,14,6,7,4,0
6898,"Low",180,43.6,16,3,3,0,0
6899,"Low",250,16.01,3,3,9,1,0
6900,"High",1505,26.72,4,2,2,2,0
6901,"High",490,77.52,24,1,6,1,0
6902,"Low",529,14.38,5,4,8,4,0
6903,"High",939,88.41,18,5,9,3,0
6904,"High",1417,70.76,13,4,9,0,0
6905,"Low",1173,30.14,16,5,1,3,0
6906,"High",1738,58.79,16,11,9,0,0
6907,"Low",81,99.24,12,9,8,1,0
6908,"Low",1751,71.49,24,4,10,0,1
6909,"High",822,26.22,5,11,8,5,0
6910,"High",168,29.54,17,0,0,1,0
6911,"Low",1201,81.09,16,5,0,5,0
6912,"High",503,84.4,29,0,10,3,0
6913,"High",1349,80.3,2,9,4,4,0
6914,"Low",1306,80.25,27,2,1,4,1
6915,"High",21,74.08,18,7,3,0,0
6916,"High",1139,25.51,22,9,9,5,0
6917,"High",952,0.63,6,6,1,1,0
6918,"Low",803,28.13,4,7,10,0,0
6919,"High",1632,72.58,11,10,6,2,0
6920,"Low",326,63.4,3,8,6,5,0
6921,"High",733,3.46,12,9,2,5,0
6922,"Low",365,89.82,16,7,4,1,0
6923,"Low",1089,43.67,14,3,5,0,0
6924,"High",950,55.14,3,10,7,3,0
6925,"High",657,21.3,12,8,10,1,0
6926,"High",515,69.4,29,4,5,5,0
6927,"High",254,46.97,20,2,6,0,0
6928,"Low",670,81.01,22,10,4,3,0
6929,"High",1152,71.48,5,0,5,4,0
6930,"Low",1066,19.75,24,9,7,0,1
6931,"High",733,86.28,30,6,7,2,0
6932,"Low",1207,60.6,15,0,9,1,0
6933,"High",567,99.46,7,8,7,1,0
6934,"Low",894,62.14,28,8,9,2,1
6935,"High",316,2.86,7,5,6,3,0
6936,"Low",440,71.09,23,8,1,0,0
6937,"High",929,34.64,2,9,5,3,0
6938,"Low",1287,75.77,13,2,0,4,0
6939,"Low",986,80.53,15,11,2,1,0
6940,"High",51,50.25,29,9,10,1,0
6941,"Low",1127,19.22,24,3,2,5,0
6942,"Low",425,92.05,9,9,7,1,0
6943,"Low",620,82.88,30,9,0,3,1
6944,"Low",1048,71.14,24,5,6,3,1
6945,"Low",328,60.02,8,11,3,3,0
6946,"High",904,77.92,4,8,2,2,0
6947,"High",235,53.91,11,8,3,5,0
6948,"High",1437,33.54,26,8,5,5,0
6949,"High",1201,0.3,6,2,4,2,0
6950,"Low",309,99.52,21,8,0,3,0
6951,"High",476,44.27,29,9,10,4,1
6952,"High",1620,69.23,1,10,3,2,0
6953,"Low",337,80.58,14,11,3,4,0
6954,"High",1180,66.9,22,2,8,4,0
6955,"High",638,59.52,5,5,8,5,0
6956,"High",1178,97.03,20,6,0,5,0
6957,"High",1324,36.56,20,8,1,5,0
6958,"Low",14,23.08,5,6,2,0,0
6959,"Low",1053,85.69,9,9,9,0,0
6960,"Low",113,36.73,8,7,5,1,0
6961,"Low",1279,75.43,24,10,6,0,1
6962,"Low",1002,58.24,22,10,10,1,1
6963,"High",130,51.56,22,0,8,1,0
6964,"Low",1680,90.03,11,8,9,2,0
6965,"Low",309,11.91,6,7,1,0,0
6966,"Low",1394,61.09,15,0,5,1,0
6967,"High",1315,52.48,1,3,10,3,0
6968,"Low",113,18.87,27,0,4,3,0
6969,"High",447,49.3,27,11,3,5,0
6970,"High",996,16.01,27,8,7,0,0
6971,"High",20,31.23,15,7,8,2,0
6972,"Low",1606,64.45,10,0,1,1,0
6973,"High",367,62.49,10,4,7,5,0
6974,"High",1187,79.16,1,2,1,3,0
6975,"High",1098,77.45,26,11,8,0,1
6976,"High",196,96.28,9,3,7,1,0
6977,"Low",332,97.89,25,7,6,3,0
6978,"High",493,57.3,19,2,3,5,0
6979,"Low",903,92.11,22,8,9,2,1
6980,"Low",1194,59.62,15,7,5,2,0
6981,"Low",1664,53.32,18,3,2,2,0
6982,"Low",1236,65.54,3,8,2,2,0
6983,"High",1523,99.95,24,11,9,0,1
6984,"Low",252,45.03,9,9,9,3,0
6985,"High",1240,82.96,22,8,4,5,0
6986,"Low",684,58.51,27,9,1,4,1
6987,"High",1080,11.64,22,8,6,2,0
6988,"High",102,34.37,20,9,1,2,0
6989,"Low",1345,63.9,7,9,2,1,0
6990,"Low",1058,99.77,18,5,6,1,0
6991,"Low",1531,72.95,29,9,7,0,1
6992,"Low",746,12.79,27,10,3,1,1
6993,"Low",1009,48.27,10,4,3,0,0
6994,"Low",423,84.36,28,11,1,5,1
6995,"Low",465,65.92,23,4,1,4,0
6996,"Low",1351,2.48,21,11,8,1,1
6997,"Low",1370,69.38,3,0,2,3,0
6998,"Low",1285,60.63,13,3,9,4,0
6999,"Low",884,15.72,23,3,2,4,0
7000,"Low",1699,66.69,23,7,3,4,1
7001,"Low",1241,20.57,28,11,9,1,1
7002,"Low",1653,9.4,28,1,4,4,1
7003,"Low",1400,98.17,19,7,5,2,0
7004,"Low",1233,12.67,24,10,10,0,1
7005,"Low",800,5.84,21,4,3,3,0
7006,"High",803,71.34,20,10,7,4,0
7007,"Low",37,73,29,5,9,5,0
7008,"High",689,27.89,4,10,5,4,0
7009,"High",345,24.85,13,4,1,1,0
7010,"Low",237,22.23,25,5,7,0,0
7011,"High",220,63.92,20,8,7,2,0
7012,"Low",957,35.33,17,6,0,3,0
7013,"High",537,59.96,22,5,0,2,0
7014,"High",819,12.37,6,9,7,2,0
7015,"Low",991,97.08,18,1,4,1,0
7016,"Low",1728,83.83,15,2,0,4,0
7017,"Low",1179,20.52,30,4,1,5,1
7018,"Low",836,54.01,1,11,2,3,0
7019,"High",1219,32.7,28,5,7,5,1
7020,"Low",1406,85.96,11,4,3,4,0
7021,"High",1568,36.39,5,4,1,4,0
7022,"Low",784,11.34,3,5,8,0,0
7023,"Low",1675,98.91,30,11,3,1,1
7024,"Low",564,52.76,14,1,1,4,0
7025,"Low",1282,2.11,25,8,3,5,1
7026,"Low",62,86.2,11,0,10,5,0
7027,"Low",335,8.6,6,7,1,1,0
7028,"Low",1092,41.69,15,10,1,0,0
7029,"High",178,35.81,17,4,4,1,0
7030,"Low",44,33.09,17,0,10,0,0
7031,"High",1116,31.27,10,0,1,5,0
7032,"High",302,6.3,14,9,3,0,0
7033,"Low",133,65.06,22,4,10,5,0
7034,"Low",1175,49.29,29,8,5,5,1
7035,"Low",916,92.58,27,8,0,0,1
7036,"High",997,12.21,9,0,10,3,0
7037,"Low",918,16.49,9,9,5,3,0
7038,"Low",73,66.12,26,8,10,2,1
7039,"Low",1015,75.71,16,9,4,1,0
7040,"Low",1512,47.63,28,5,7,0,1
7041,"Low",385,54.75,29,4,3,0,1
7042,"High",1673,70.95,5,8,0,2,0
7043,"High",1802,50.99,9,4,10,2,0
7044,"High",874,71.52,6,1,1,2,0
7045,"High",1574,33.79,10,1,4,3,0
7046,"High",544,67.54,12,0,10,2,0
7047,"High",824,45.23,27,8,6,5,0
7048,"Low",325,36.62,20,0,1,3,0
7049,"High",92,29.48,19,3,4,1,0
7050,"High",1548,53.85,19,6,1,1,0
7051,"Low",709,39.76,4,1,0,0,0
7052,"Low",211,95.16,23,4,8,3,0
7053,"High",1716,36.55,13,8,0,3,0
7054,"Low",1815,96.01,7,7,6,4,0
7055,"High",82,70.71,29,6,2,5,0
7056,"High",220,28.35,23,7,8,3,0
7057,"Low",662,49.42,6,7,5,5,0
7058,"High",585,13.55,22,8,7,5,0
7059,"High",544,96.57,13,10,9,3,0
7060,"High",798,91.38,16,6,3,4,0
7061,"Low",807,36.82,10,4,0,5,0
7062,"High",188,73.02,9,7,5,4,0
7063,"Low",1357,16.93,12,2,2,1,0
7064,"High",725,0.92,12,8,6,2,0
7065,"High",165,23.82,17,3,10,4,0
7066,"Low",1233,21.43,29,5,6,0,1
7067,"High",1543,80.52,7,3,4,5,0
7068,"Low",1496,39.1,6,11,10,4,0
7069,"High",397,9.91,29,1,1,0,0
7070,"High",409,92.62,23,3,0,2,0
7071,"Low",971,63.57,11,0,2,2,0
7072,"High",1640,30.72,21,2,7,1,0
7073,"High",1675,95.42,14,7,1,5,0
7074,"High",1458,91.78,14,6,7,2,0
7075,"High",1153,77.57,27,2,3,5,0
7076,"Low",252,12.92,18,2,7,1,0
7077,"High",863,40.36,4,9,7,5,0
7078,"High",1308,13.42,30,1,1,1,0
7079,"Low",1637,41.75,1,10,5,4,0
7080,"High",596,49.51,22,5,2,2,0
7081,"Low",1109,37.48,7,6,9,1,0
7082,"Low",1299,91.73,9,1,1,2,0
7083,"High",1278,71.94,3,4,0,1,0
7084,"Low",286,78.69,30,5,6,1,1
7085,"Low",1498,86.61,10,8,0,4,0
7086,"High",1749,9.89,3,1,3,2,0
7087,"High",267,95.92,6,0,1,1,0
7088,"High",189,91.23,3,9,5,0,0
7089,"Low",241,30.14,19,0,9,0,0
7090,"High",1027,0.03,10,3,5,4,0
7091,"High",1555,79.26,27,8,7,5,1
7092,"High",1609,92.15,27,6,10,0,1
7093,"High",1386,67.27,10,1,5,3,0
7094,"High",1694,47.76,30,11,5,4,1
7095,"High",20,62.42,27,8,2,0,0
7096,"High",1028,97.38,7,4,4,2,0
7097,"Low",422,73.53,22,5,0,1,0
7098,"Low",1357,96.11,30,4,10,3,1
7099,"Low",494,13.55,28,2,9,2,1
7100,"High",999,60.19,13,6,6,2,0
7101,"High",887,29.12,6,11,0,2,0
7102,"High",1084,34.56,14,8,5,3,0
7103,"High",610,26.16,2,2,4,5,0
7104,"High",866,13.89,14,10,2,5,0
7105,"High",144,57.59,25,2,9,2,0
7106,"Low",102,65.09,30,6,9,5,1
7107,"High",913,46.81,26,11,0,1,0
7108,"Low",1299,59.46,2,10,3,2,0
7109,"High",524,57.33,28,11,2,5,0
7110,"Low",1433,58.5,19,9,3,2,0
7111,"Low",1227,59.38,15,4,8,3,0
7112,"Low",1615,51.06,13,1,3,5,0
7113,"Low",1676,10.13,7,0,0,2,0
7114,"Low",723,64.19,27,3,10,4,1
7115,"High",817,69.68,17,1,8,4,0
7116,"High",1527,43.56,20,8,9,5,0
7117,"High",1411,53.67,9,9,8,3,0
7118,"High",1597,46,19,2,0,2,0
7119,"High",475,52.75,7,7,7,0,0
7120,"High",579,43.79,10,3,5,2,0
7121,"High",597,53.92,19,8,8,5,0
7122,"High",1134,19.28,8,6,5,2,0
7123,"High",1831,23.7,22,8,5,1,0
7124,"High",1528,31.85,4,11,5,5,0
7125,"Low",655,34.78,15,6,7,1,0
7126,"High",1602,69.78,10,10,8,3,0
7127,"High",394,25.14,20,6,3,3,0
7128,"Low",335,29.55,7,2,8,1,0
7129,"Low",1631,69.9,9,7,9,0,0
7130,"Low",1677,60.51,23,2,5,5,1
7131,"High",564,10.33,9,6,3,1,0
7132,"High",107,73.67,26,11,3,5,0
7133,"High",216,51.94,9,7,0,1,0
7134,"Low",1605,92.41,20,6,1,2,0
7135,"High",1576,57.75,17,9,5,2,0
7136,"High",223,20.49,27,4,2,4,0
7137,"Low",423,49.6,28,5,1,2,1
7138,"Low",160,11.92,25,10,10,4,1
7139,"Low",321,56.7,24,4,3,4,0
7140,"High",558,80.38,7,9,3,0,0
7141,"Low",1007,68.96,18,11,6,2,0
7142,"High",1162,75.49,28,1,0,0,0
7143,"Low",1501,2.54,3,11,3,5,0
7144,"High",499,38.79,11,7,4,0,0
7145,"Low",474,42.95,20,3,6,4,0
7146,"Low",1439,70.62,17,10,7,5,0
7147,"High",1591,93.68,29,8,3,2,1
7148,"Low",1806,92.46,14,3,2,3,0
7149,"Low",1030,66.73,18,6,5,4,0
7150,"High",1143,69.02,25,11,10,4,1
7151,"High",465,92.88,7,0,3,5,0
7152,"High",1491,62.32,1,10,3,4,0
7153,"High",1446,75.19,14,5,3,3,0
7154,"High",1640,19.5,22,8,0,5,0
7155,"High",522,10.94,19,8,5,0,0
7156,"High",1161,43.24,23,6,4,0,0
7157,"High",850,22.32,28,5,7,3,0
7158,"Low",1427,86.2,5,0,0,5,0
7159,"Low",1582,33.56,4,5,0,2,0
7160,"High",323,9.45,19,6,7,0,0
7161,"Low",639,2.11,9,1,2,5,0
7162,"High",498,0.19,29,10,8,5,1
7163,"Low",1631,20.78,7,2,8,3,0
7164,"High",1712,75.97,24,4,0,2,0
7165,"Low",226,23.12,16,4,3,4,0
7166,"High",1517,4.08,16,7,3,2,0
7167,"High",929,37.15,28,11,10,0,1
7168,"High",1125,48.58,29,3,0,1,0
7169,"High",944,94.33,6,9,2,4,0
7170,"Low",293,68.65,16,1,8,2,0
7171,"Low",422,40.04,18,3,2,1,0
7172,"High",865,22.35,20,1,7,4,0
7173,"High",238,61.06,20,11,10,2,0
7174,"High",1569,71.9,27,2,1,4,0
7175,"High",1340,15.64,6,5,3,4,0
7176,"High",1440,50.02,13,2,8,1,0
7177,"High",50,48.52,21,2,5,5,0
7178,"High",135,14.09,10,5,5,2,0
7179,"High",789,56.52,6,3,4,2,0
7180,"High",284,80.48,27,9,0,3,0
7181,"High",579,92.69,23,11,1,0,0
7182,"Low",98,88.99,10,9,4,5,0
7183,"High",598,96.74,3,4,0,4,0
7184,"High",1828,37.6,2,6,8,3,0
7185,"Low",500,2.26,22,3,4,3,0
7186,"High",412,62.28,9,5,9,2,0
7187,"High",990,66.19,30,8,4,2,0
7188,"High",1156,50.56,24,6,5,4,0
7189,"Low",585,76.58,9,10,9,0,0
7190,"High",422,39.52,23,8,5,4,0
7191,"High",607,80.07,30,11,7,5,1
7192,"High",296,12.61,1,9,10,0,0
7193,"High",1377,78.83,17,6,3,5,0
7194,"Low",1550,60.11,20,7,9,3,1
7195,"Low",1313,65.14,22,5,3,3,0
7196,"Low",1469,9.74,18,5,10,5,0
7197,"Low",1067,56.26,15,2,8,5,0
7198,"Low",593,67.93,28,11,0,3,1
7199,"Low",1487,72.59,13,7,5,4,0
7200,"Low",1678,84.91,6,9,5,1,0
7201,"High",734,23.02,14,1,0,4,0
7202,"Low",575,25.03,30,5,10,4,1
7203,"Low",94,5.76,15,2,3,1,0
7204,"High",1195,73.78,29,1,7,3,0
7205,"Low",1136,55.59,27,2,8,4,1
7206,"High",869,62.07,22,7,2,4,0
7207,"Low",723,22.93,7,0,8,4,0
7208,"Low",662,58.14,9,0,1,5,0
7209,"High",1402,65.45,12,9,7,5,0
7210,"High",43,54.49,22,11,6,1,0
7211,"Low",1528,29.95,1,7,9,5,0
7212,"High",1766,9.65,14,4,5,0,0
7213,"High",658,0.2,23,7,5,0,0
7214,"High",1523,96.53,20,3,5,1,0
7215,"Low",654,70.82,10,10,7,1,0
7216,"Low",160,92.5,6,2,4,4,0
7217,"High",1651,18.54,28,0,4,3,0
7218,"Low",489,75.31,7,2,9,1,0
7219,"High",979,36.01,5,11,7,0,0
7220,"High",837,86,21,9,9,5,0
7221,"High",846,42.4,25,8,9,2,0
7222,"Low",40,3.51,22,11,9,2,0
7223,"High",63,77.89,7,1,6,5,0
7224,"High",792,17.6,16,1,10,2,0
7225,"Low",175,43.96,6,7,9,2,0
7226,"Low",829,82.98,2,9,3,2,0
7227,"Low",1005,11.09,2,11,2,5,0
7228,"Low",1530,92.46,27,9,7,0,1
7229,"High",1119,24.01,18,10,3,3,0
7230,"High",1496,3.52,19,4,9,2,0
7231,"High",1294,69.15,14,4,2,0,0
7232,"Low",3,42.87,9,7,6,2,0
7233,"Low",1559,35.65,25,7,9,4,1
7234,"High",1265,46.96,3,1,7,1,0
7235,"High",952,51.5,7,4,3,4,0
7236,"Low",964,60.77,5,9,4,0,0
7237,"High",1652,71.82,27,6,10,5,1
7238,"Low",1680,18.87,13,6,9,0,0
7239,"Low",436,42.93,12,4,10,4,0
7240,"Low",801,93.09,10,11,1,5,0
7241,"High",424,38.57,12,4,3,1,0
7242,"High",207,19.89,20,10,9,2,0
7243,"Low",1180,6.14,24,1,0,3,0
7244,"Low",1016,49.53,22,0,2,1,0
7245,"High",661,27.64,21,0,5,1,0
7246,"High",497,60.9,21,7,5,3,0
7247,"Low",336,45.2,29,6,5,3,1
7248,"Low",787,8.87,25,7,1,1,0
7249,"High",942,7,10,2,2,0,0
7250,"Low",1134,52.35,4,1,9,1,0
7251,"High",40,15.82,12,3,4,2,0
7252,"High",1188,31.05,24,2,2,1,0
7253,"High",1765,67.09,29,0,4,2,0
7254,"High",144,81.01,16,4,10,1,0
7255,"Low",1118,34.88,1,1,5,5,0
7256,"High",476,60.47,2,5,6,1,0
7257,"High",995,22.86,6,2,2,1,0
7258,"High",838,6.33,16,8,1,1,0
7259,"Low",631,90.64,19,10,10,0,0
7260,"Low",76,93.96,19,3,9,4,0
7261,"Low",1371,86.86,21,1,3,4,0
7262,"High",218,86.6,13,2,4,1,0
7263,"Low",574,20.21,19,8,5,2,0
7264,"Low",409,73.85,3,3,2,1,0
7265,"Low",1383,45.61,30,1,8,1,1
7266,"High",1248,44.38,30,0,2,0,0
7267,"Low",1536,73.72,24,11,5,4,1
7268,"Low",1522,72.09,28,3,0,1,1
7269,"High",1698,27.34,27,9,3,1,1
7270,"High",899,35.27,15,10,10,1,0
7271,"High",1742,66.36,29,11,2,0,1
7272,"High",955,50.95,21,11,8,1,0
7273,"High",1327,33.02,20,8,0,3,0
7274,"High",729,69.85,21,10,6,5,0
7275,"High",273,72.81,7,5,7,1,0
7276,"High",299,74.58,3,6,4,5,0
7277,"Low",555,19.64,24,11,4,0,1
7278,"Low",966,63.94,11,7,10,3,0
7279,"Low",1755,40.36,16,0,0,0,0
7280,"Low",80,60.1,17,5,9,1,0
7281,"Low",271,25.9,12,1,4,2,0
7282,"Low",777,19.85,17,8,7,2,0
7283,"High",97,22.53,28,3,3,3,0
7284,"Low",243,72.48,29,11,8,3,1
7285,"High",719,24.74,30,4,9,5,1
7286,"Low",969,95.36,8,2,3,3,0
7287,"High",990,29.95,7,8,9,0,0
7288,"Low",1427,18.48,18,10,3,2,0
7289,"Low",1199,58.36,16,0,5,4,0
7290,"Low",579,2.84,11,10,0,5,0
7291,"Low",1427,6.45,15,2,1,2,0
7292,"High",876,62.37,5,5,5,5,0
7293,"High",978,93.19,30,6,3,3,0
7294,"Low",331,60.2,15,5,9,2,0
7295,"Low",259,93.26,12,9,7,1,0
7296,"High",1108,78.55,24,7,5,1,0
7297,"High",1,80.72,8,7,0,0,0
7298,"High",1148,44.62,14,10,5,3,0
7299,"Low",997,93.69,1,10,10,3,0
7300,"Low",586,8.36,2,10,2,0,0
7301,"Low",780,25.4,6,10,9,2,0
7302,"Low",1390,21.63,9,11,7,0,0
7303,"Low",1042,21.22,19,7,7,2,0
7304,"Low",677,3.68,12,8,0,2,0
7305,"High",732,27.04,20,10,1,1,0
7306,"Low",1580,29.57,15,4,7,1,0
7307,"Low",730,32.24,26,7,9,0,1
7308,"High",1034,51.65,6,9,3,0,0
7309,"High",1087,44.64,24,1,4,3,0
7310,"High",780,54.22,3,11,8,3,0
7311,"Low",1040,98.51,13,1,10,1,0
7312,"High",727,75.28,23,1,8,2,0
7313,"High",283,26.44,2,1,1,0,0
7314,"High",867,79.6,27,4,3,2,0
7315,"Low",777,72.99,4,2,0,4,0
7316,"Low",234,38.44,3,11,6,4,0
7317,"High",531,3.25,17,7,3,1,0
7318,"High",363,89.11,18,2,4,3,0
7319,"Low",1718,21.04,19,8,0,3,0
7320,"High",1297,85.03,29,6,4,5,1
7321,"High",804,50.22,24,6,9,5,0
7322,"Low",614,70.97,4,6,7,1,0
7323,"Low",1026,71.69,6,8,2,1,0
7324,"Low",1726,83.55,6,0,7,5,0
7325,"High",1586,33.21,17,4,6,1,0
7326,"High",192,97.26,6,2,1,2,0
7327,"Low",1342,31.69,6,9,3,5,0
7328,"High",385,87.27,5,7,0,1,0
7329,"Low",291,88.51,29,6,1,3,1
7330,"High",47,14.47,24,7,9,2,0
7331,"High",1388,68.93,17,9,3,5,0
7332,"Low",1649,71.86,6,1,4,4,0
7333,"Low",466,43.59,3,7,9,5,0
7334,"High",205,75.77,27,2,3,1,0
7335,"High",1741,23.55,8,9,1,2,0
7336,"High",1710,46.31,18,6,2,1,0
7337,"Low",1730,71.16,23,4,4,4,1
7338,"High",217,59.19,8,5,8,5,0
7339,"High",1579,59.55,8,4,9,5,0
7340,"High",49,1.43,27,6,4,1,0
7341,"High",324,53.83,1,1,3,3,0
7342,"Low",1667,76.07,16,1,10,2,0
7343,"High",1130,42.02,7,0,2,5,0
7344,"Low",810,96.73,21,5,3,4,0
7345,"Low",1719,59.91,15,6,3,4,0
7346,"High",744,39.34,26,1,1,3,0
7347,"High",1657,40.19,1,9,7,5,0
7348,"Low",1170,53.1,30,2,10,2,1
7349,"Low",739,11.02,2,5,0,4,0
7350,"High",63,95.01,1,7,9,0,0
7351,"Low",1237,35.67,1,4,1,0,0
7352,"Low",326,96.75,19,8,8,3,0
7353,"Low",995,35.5,23,6,8,5,1
